assignDate,assignmentType,averageScore,createdAt,description,dueDate,id,lateRate,maxAttempts,maxScore,moduleId,name,submissionRate,updatedAt,weight
2023-09-02T00:00:00,Project,76.52777777777777,2025-03-20T18:55:29.198164,Create a comprehensive solution that showcases your skills. This project focuses on Project on Practice.,2023-09-08T00:00:00,ASG270607,11.11111111111111,,100.0,MOD010175,Project on Practice,18,2025-03-20T18:55:29.265650,0.25
2023-09-14T00:00:00,Project,75.61666666666667,2025-03-20T18:55:29.198164,This project allows you to apply concepts in a practical context. This project focuses on Project on English Fundamentals.,2023-09-18T00:00:00,ASG729178,11.11111111111111,,100.0,MOD240266,Project on English Fundamentals,18,2025-03-20T18:55:29.265650,0.25
2023-09-25T00:00:00,Exam,74.95555555555556,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Discussion Applications Assessment 1.,2023-09-29T00:00:00,ASG728940,22.22222222222222,2,100.0,MOD300832,Discussion Applications Assessment 1,18,2025-03-20T18:55:29.265650,0.3
2023-09-24T00:00:00,Quiz,74.94444444444447,2025-03-20T18:55:29.198164,A short quiz to test your understanding of key concepts. This quiz focuses on Quiz on Discussion Applications.,2023-10-01T00:00:00,ASG983803,16.666666666666664,2,100.0,MOD300832,Quiz on Discussion Applications,18,2025-03-20T18:55:29.265650,0.15
2023-10-04T00:00:00,Quiz,72.55000000000001,2025-03-20T18:55:29.198164,Complete this quiz to demonstrate your knowledge of basic concepts. This quiz focuses on Quiz on Project in English.,2023-10-10T00:00:00,ASG688090,5.555555555555555,2,100.0,MOD633350,Quiz on Project in English,18,2025-03-20T18:55:29.265650,0.15
2023-10-15T00:00:00,Quiz,73.86111111111111,2025-03-20T18:55:29.198164,Complete this quiz to demonstrate your knowledge of basic concepts. This quiz focuses on English Fundamentals Quiz 1.,2023-10-24T00:00:00,ASG917915,22.22222222222222,2,100.0,MOD775009,English Fundamentals Quiz 1,18,2025-03-20T18:55:29.265650,0.15
2023-10-29T00:00:00,Project,74.44444444444446,2025-03-20T18:55:29.198164,Develop a project that demonstrates your understanding of the material. This project focuses on Project - English Fundamentals Concepts.,2023-11-06T00:00:00,ASG694282,5.555555555555555,,100.0,MOD869550,Project - English Fundamentals Concepts,18,2025-03-20T18:55:29.265650,0.25
2023-11-10T00:00:00,Project,78.61666666666667,2025-03-20T18:55:29.198164,Create a comprehensive solution that showcases your skills. This project focuses on Theory Assessment 1.,2023-11-15T00:00:00,ASG454754,16.666666666666664,,100.0,MOD770928,Theory Assessment 1,18,2025-03-20T18:55:29.265650,0.25
2023-11-09T00:00:00,Homework,74.75000000000001,2025-03-20T18:55:29.198164,Apply what you've learned by completing these problems. This homework focuses on Homework - Theory Concepts.,2023-11-16T00:00:00,ASG859975,33.33333333333333,2,100.0,MOD770928,Homework - Theory Concepts,18,2025-03-20T18:55:29.265650,0.2
2023-11-19T00:00:00,Exam,74.1611111111111,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Research in English Exam 1.,2023-11-23T00:00:00,ASG772542,11.11111111111111,2,100.0,MOD448289,Research in English Exam 1,18,2025-03-20T18:55:29.265650,0.3
2023-11-20T00:00:00,Participation,76.1,2025-03-20T18:55:29.198164,Contribute to class discussions and activities. This participation focuses on Research in English.,2023-11-23T00:00:00,ASG567539,5.555555555555555,,100.0,MOD448289,Participation 2: Research in English,18,2025-03-20T18:55:29.265650,0.1
2023-09-15T00:00:00,Homework,70.85909090909091,2025-03-20T18:55:29.198164,Complete these exercises to reinforce your understanding. This homework focuses on Data Research.,2023-09-22T00:00:00,ASG746751,18.181818181818183,2,100.0,MOD721690,Homework 1: Data Research,22,2025-03-20T18:55:29.267255,0.2
2023-09-24T00:00:00,Project,70.24545454545456,2025-03-20T18:55:29.198164,This project allows you to apply concepts in a practical context. This project focuses on Data Theory.,2023-09-29T00:00:00,ASG722990,9.090909090909092,,100.0,MOD039013,Project 1: Data Theory,22,2025-03-20T18:55:29.267255,0.25
2023-10-04T00:00:00,Participation,71.44999999999999,2025-03-20T18:55:29.198164,Your active participation in class activities will be assessed. This participation focuses on Research Participation 1.,2023-10-10T00:00:00,ASG482522,22.727272727272727,,100.0,MOD441619,Research Participation 1,22,2025-03-20T18:55:29.267255,0.1
2023-10-05T00:00:00,Quiz,67.35,2025-03-20T18:55:29.198164,This quiz covers the essential material from recent lessons. This quiz focuses on Research Quiz 2.,2023-10-11T00:00:00,ASG516780,9.090909090909092,3,100.0,MOD441619,Research Quiz 2,22,2025-03-20T18:55:29.267255,0.15
2023-10-14T00:00:00,Homework,73.7818181818182,2025-03-20T18:55:29.198164,Apply what you've learned by completing these problems. This homework focuses on Discussion Applications Homework 1.,2023-10-17T00:00:00,ASG521873,9.090909090909092,1,100.0,MOD451056,Discussion Applications Homework 1,22,2025-03-20T18:55:29.267255,0.2
2023-10-22T00:00:00,Exam,71.61818181818182,2025-03-20T18:55:29.198164,This exam assesses your overall understanding of the material. This exam focuses on Exam - Data Project Concepts.,2023-10-28T00:00:00,ASG169994,13.636363636363635,3,100.0,MOD605635,Exam - Data Project Concepts,22,2025-03-20T18:55:29.267255,0.3
2023-10-29T00:00:00,Quiz,73.39999999999999,2025-03-20T18:55:29.198164,A short quiz to test your understanding of key concepts. This quiz focuses on Practice in Data Quiz 1.,2023-11-05T00:00:00,ASG232418,13.636363636363635,1,100.0,MOD915775,Practice in Data Quiz 1,22,2025-03-20T18:55:29.267255,0.15
2023-10-30T00:00:00,Quiz,70.17727272727272,2025-03-20T18:55:29.198164,This quiz covers the essential material from recent lessons. This quiz focuses on Practice in Data.,2023-11-03T00:00:00,ASG287262,22.727272727272727,3,100.0,MOD915775,Quiz 2: Practice in Data,22,2025-03-20T18:55:29.267255,0.15
2023-11-07T00:00:00,Quiz,72.52727272727272,2025-03-20T18:55:29.198164,A short quiz to test your understanding of key concepts. This quiz focuses on Data Theory Quiz 1.,2023-11-12T00:00:00,ASG202206,4.545454545454546,3,100.0,MOD857434,Data Theory Quiz 1,22,2025-03-20T18:55:29.267255,0.15
2023-11-16T00:00:00,Exam,71.55,2025-03-20T18:55:29.198164,A comprehensive exam covering all major topics in this module. This exam focuses on Project.,2023-11-20T00:00:00,ASG503768,31.818181818181817,1,100.0,MOD063883,Exam 1: Project,22,2025-03-20T18:55:29.267255,0.3
2023-11-22T00:00:00,Participation,72.24545454545454,2025-03-20T18:55:29.198164,Engage with the material through discussion and collaboration. This participation focuses on Theory Applications Assessment 1.,2023-11-24T00:00:00,ASG124485,9.090909090909092,,100.0,MOD617876,Theory Applications Assessment 1,22,2025-03-20T18:55:29.267255,0.1
2023-09-08T00:00:00,Project,75.58333333333334,2025-03-20T18:55:29.198164,This project allows you to apply concepts in a practical context. This project focuses on Theory in Physics.,2023-09-16T00:00:00,ASG289368,16.666666666666664,,100.0,MOD432945,Project 1: Theory in Physics,12,2025-03-20T18:55:29.263710,0.25
2023-09-08T00:00:00,Exam,76.73333333333333,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Exam - Theory in Physics Concepts.,2023-09-14T00:00:00,ASG288052,0.0,2,100.0,MOD432945,Exam - Theory in Physics Concepts,12,2025-03-20T18:55:29.263710,0.3
2023-09-19T00:00:00,Homework,76.21666666666667,2025-03-20T18:55:29.198164,This homework assignment provides practice with key concepts. This homework focuses on Homework on Project in Physics.,2023-09-23T00:00:00,ASG478405,8.333333333333332,2,100.0,MOD360367,Homework on Project in Physics,12,2025-03-20T18:55:29.263710,0.2
2023-09-18T00:00:00,Exam,73.91666666666667,2025-03-20T18:55:29.198164,This exam assesses your overall understanding of the material. This exam focuses on Exam - Project in Physics Concepts.,2023-09-21T00:00:00,ASG442449,16.666666666666664,1,100.0,MOD360367,Exam - Project in Physics Concepts,12,2025-03-20T18:55:29.263710,0.3
2023-09-26T00:00:00,Homework,75.6,2025-03-20T18:55:29.198164,This homework assignment provides practice with key concepts. This homework focuses on Physics Fundamentals Homework 1.,2023-09-30T00:00:00,ASG775325,8.333333333333332,2,100.0,MOD838389,Physics Fundamentals Homework 1,12,2025-03-20T18:55:29.263710,0.2
2023-09-26T00:00:00,Participation,73.75833333333334,2025-03-20T18:55:29.198164,Engage with the material through discussion and collaboration. This participation focuses on Physics Fundamentals Participation 2.,2023-10-02T00:00:00,ASG571187,8.333333333333332,,100.0,MOD838389,Physics Fundamentals Participation 2,12,2025-03-20T18:55:29.263710,0.1
2023-10-04T00:00:00,Participation,73.85000000000001,2025-03-20T18:55:29.198164,Your active participation in class activities will be assessed. This participation focuses on Physics Research.,2023-10-11T00:00:00,ASG022676,16.666666666666664,,100.0,MOD719543,Participation 1: Physics Research,12,2025-03-20T18:55:29.263710,0.1
2023-10-04T00:00:00,Project,73.05,2025-03-20T18:55:29.198164,Create a comprehensive solution that showcases your skills. This project focuses on Physics Research.,2023-10-08T00:00:00,ASG833149,25.0,,100.0,MOD719543,Project 2: Physics Research,12,2025-03-20T18:55:29.263710,0.25
2023-10-12T00:00:00,Homework,69.98333333333333,2025-03-20T18:55:29.198164,This homework assignment provides practice with key concepts. This homework focuses on Physics Fundamentals Homework 1.,2023-10-16T00:00:00,ASG477369,0.0,4,100.0,MOD224786,Physics Fundamentals Homework 1,12,2025-03-20T18:55:29.263710,0.2
2023-10-22T00:00:00,Project,71.99166666666666,2025-03-20T18:55:29.198164,Create a comprehensive solution that showcases your skills. This project focuses on Research Project 1.,2023-10-28T00:00:00,ASG554347,33.33333333333333,,100.0,MOD701252,Research Project 1,12,2025-03-20T18:55:29.263710,0.25
2023-10-20T00:00:00,Quiz,72.48333333333333,2025-03-20T18:55:29.198164,A short quiz to test your understanding of key concepts. This quiz focuses on Quiz on Research.,2023-10-27T00:00:00,ASG694385,8.333333333333332,2,100.0,MOD701252,Quiz on Research,12,2025-03-20T18:55:29.263710,0.15
2023-10-31T00:00:00,Participation,75.08333333333334,2025-03-20T18:55:29.198164,Contribute to class discussions and activities. This participation focuses on Research Participation 1.,2023-11-05T00:00:00,ASG937746,16.666666666666664,,100.0,MOD107933,Research Participation 1,12,2025-03-20T18:55:29.263710,0.1
2023-11-08T00:00:00,Exam,73.97500000000001,2025-03-20T18:55:29.198164,A comprehensive exam covering all major topics in this module. This exam focuses on Exam on Research in Physics.,2023-11-10T00:00:00,ASG601974,0.0,1,100.0,MOD452499,Exam on Research in Physics,12,2025-03-20T18:55:29.263710,0.3
2023-11-06T00:00:00,Homework,72.22500000000001,2025-03-20T18:55:29.198164,Complete these exercises to reinforce your understanding. This homework focuses on Homework - Research in Physics Concepts.,2023-11-13T00:00:00,ASG938684,25.0,4,100.0,MOD452499,Homework - Research in Physics Concepts,12,2025-03-20T18:55:29.263710,0.2
2023-11-14T00:00:00,Exam,75.69166666666668,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Physics Practice Exam 1.,2023-11-20T00:00:00,ASG808160,0.0,2,100.0,MOD810672,Physics Practice Exam 1,12,2025-03-20T18:55:29.263710,0.3
2023-11-24T00:00:00,Project,75.05000000000001,2025-03-20T18:55:29.198164,This project allows you to apply concepts in a practical context. This project focuses on Project - Theory in Physics Concepts.,2023-11-29T00:00:00,ASG905079,16.666666666666664,,100.0,MOD535204,Project - Theory in Physics Concepts,12,2025-03-20T18:55:29.263710,0.25
2023-12-01T00:00:00,Project,73.74166666666666,2025-03-20T18:55:29.198164,Develop a project that demonstrates your understanding of the material. This project focuses on Project - Project in Physics Concepts.,2023-12-06T00:00:00,ASG404628,8.333333333333332,,100.0,MOD651040,Project - Project in Physics Concepts,12,2025-03-20T18:55:29.263710,0.25
2023-12-03T00:00:00,Quiz,76.72500000000001,2025-03-20T18:55:29.198164,Complete this quiz to demonstrate your knowledge of basic concepts. This quiz focuses on Project in Physics Assessment 2.,2023-12-06T00:00:00,ASG400694,16.666666666666664,1,100.0,MOD651040,Project in Physics Assessment 2,12,2025-03-20T18:55:29.263710,0.15
2023-12-12T00:00:00,Project,72.69166666666668,2025-03-20T18:55:29.198164,This project allows you to apply concepts in a practical context. This project focuses on Theory in Physics.,2023-12-16T00:00:00,ASG652289,25.0,,100.0,MOD634100,Project 1: Theory in Physics,12,2025-03-20T18:55:29.263710,0.25
2023-12-20T00:00:00,Homework,74.675,2025-03-20T18:55:29.198164,This homework assignment provides practice with key concepts. This homework focuses on Physics Fundamentals Homework 1.,2023-12-24T00:00:00,ASG317012,0.0,4,100.0,MOD151688,Physics Fundamentals Homework 1,12,2025-03-20T18:55:29.263710,0.2
2023-12-19T00:00:00,Exam,74.40833333333333,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Physics Fundamentals Assessment 2.,2023-12-24T00:00:00,ASG727619,41.66666666666667,1,100.0,MOD151688,Physics Fundamentals Assessment 2,12,2025-03-20T18:55:29.263710,0.3
2023-12-26T00:00:00,Quiz,74.35000000000001,2025-03-20T18:55:29.198164,A short quiz to test your understanding of key concepts. This quiz focuses on Research in Physics Assessment 1.,2023-12-30T00:00:00,ASG490898,0.0,2,100.0,MOD959070,Research in Physics Assessment 1,12,2025-03-20T18:55:29.263710,0.15
2023-12-26T00:00:00,Exam,75.09166666666667,2025-03-20T18:55:29.198164,This exam assesses your overall understanding of the material. This exam focuses on Research in Physics.,2024-01-01T00:00:00,ASG309690,25.0,2,100.0,MOD959070,Exam 2: Research in Physics,12,2025-03-20T18:55:29.263710,0.3
2024-01-05T00:00:00,Participation,74.55833333333335,2025-03-20T18:55:29.198164,Your active participation in class activities will be assessed. This participation focuses on Physics Fundamentals.,2024-01-10T00:00:00,ASG095823,0.0,,100.0,MOD715906,Participation 1: Physics Fundamentals,12,2025-03-20T18:55:29.263710,0.1
2024-01-03T00:00:00,Exam,73.66666666666667,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Exam on Physics Fundamentals.,2024-01-09T00:00:00,ASG753428,16.666666666666664,1,100.0,MOD715906,Exam on Physics Fundamentals,12,2025-03-20T18:55:29.263710,0.3
2024-01-11T00:00:00,Exam,73.09166666666667,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Physics Fundamentals Assessment 1.,2024-01-12T00:00:00,ASG096483,50.0,2,100.0,MOD681660,Physics Fundamentals Assessment 1,12,2025-03-20T18:55:29.263710,0.3
2024-01-11T00:00:00,Homework,73.075,2025-03-20T18:55:29.198164,Complete these exercises to reinforce your understanding. This homework focuses on Homework - Physics Fundamentals Concepts.,2024-01-12T00:00:00,ASG529990,0.0,2,100.0,MOD681660,Homework - Physics Fundamentals Concepts,12,2025-03-20T18:55:29.263710,0.2
2023-09-10T00:00:00,Participation,69.01481481481483,2025-03-20T18:55:29.198164,Engage with the material through discussion and collaboration. This participation focuses on Participation - French Fundamentals Concepts.,2023-09-18T00:00:00,ASG274918,18.51851851851852,,100.0,MOD760238,Participation - French Fundamentals Concepts,27,2025-03-20T18:55:29.263710,0.1
2023-09-05T00:00:00,Exam,71.21111111111111,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on French Fundamentals Exam 2.,2023-09-15T00:00:00,ASG632054,11.11111111111111,2,100.0,MOD760238,French Fundamentals Exam 2,27,2025-03-20T18:55:29.263710,0.3
2023-09-28T00:00:00,Project,69.19999999999999,2025-03-20T18:55:29.198164,Develop a project that demonstrates your understanding of the material. This project focuses on Project in French.,2023-10-05T00:00:00,ASG583415,25.925925925925924,,100.0,MOD721259,Project 1: Project in French,27,2025-03-20T18:55:29.263710,0.25
2023-10-13T00:00:00,Quiz,72.0925925925926,2025-03-20T18:55:29.198164,A short quiz to test your understanding of key concepts. This quiz focuses on French Practice Assessment 1.,2023-10-20T00:00:00,ASG593798,14.814814814814813,2,100.0,MOD808010,French Practice Assessment 1,27,2025-03-20T18:55:29.263710,0.15
2023-10-14T00:00:00,Exam,71.59259259259258,2025-03-20T18:55:29.198164,This exam assesses your overall understanding of the material. This exam focuses on Exam - French Practice Concepts.,2023-10-25T00:00:00,ASG443992,18.51851851851852,1,100.0,MOD808010,Exam - French Practice Concepts,27,2025-03-20T18:55:29.263710,0.3
2023-10-26T00:00:00,Homework,69.95925925925926,2025-03-20T18:55:29.198164,Apply what you've learned by completing these problems. This homework focuses on Research in French Assessment 1.,2023-11-12T00:00:00,ASG491495,11.11111111111111,4,100.0,MOD188471,Research in French Assessment 1,27,2025-03-20T18:55:29.263710,0.2
2023-10-27T00:00:00,Quiz,69.67777777777778,2025-03-20T18:55:29.198164,Complete this quiz to demonstrate your knowledge of basic concepts. This quiz focuses on Research in French.,2023-11-11T00:00:00,ASG036535,18.51851851851852,1,100.0,MOD188471,Quiz 2: Research in French,27,2025-03-20T18:55:29.263710,0.15
2023-11-15T00:00:00,Participation,70.0185185185185,2025-03-20T18:55:29.198164,Your active participation in class activities will be assessed. This participation focuses on French Fundamentals Participation 1.,2023-12-01T00:00:00,ASG245502,18.51851851851852,,100.0,MOD447094,French Fundamentals Participation 1,27,2025-03-20T18:55:29.263710,0.1
2023-12-04T00:00:00,Exam,72.0851851851852,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Exam on Practice.,2023-12-15T00:00:00,ASG882671,7.4074074074074066,2,100.0,MOD228960,Exam on Practice,27,2025-03-20T18:55:29.263710,0.3
2023-12-23T00:00:00,Quiz,68.41851851851852,2025-03-20T18:55:29.198164,Complete this quiz to demonstrate your knowledge of basic concepts. This quiz focuses on Quiz on Discussion in French.,2023-12-29T00:00:00,ASG140858,11.11111111111111,1,100.0,MOD973284,Quiz on Discussion in French,27,2025-03-20T18:55:29.263710,0.15
2023-09-12T00:00:00,Quiz,75.20833333333333,2025-03-20T18:55:29.198164,This quiz covers the essential material from recent lessons. This quiz focuses on Biology Project.,2023-09-17T00:00:00,ASG251309,25.0,1,100.0,MOD140049,Quiz 1: Biology Project,24,2025-03-20T18:55:29.267255,0.15
2023-09-22T00:00:00,Exam,75.33333333333333,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Biology Discussion Assessment 1.,2023-09-25T00:00:00,ASG272922,16.666666666666664,2,100.0,MOD652251,Biology Discussion Assessment 1,24,2025-03-20T18:55:29.267255,0.3
2023-09-30T00:00:00,Exam,75.5,2025-03-20T18:55:29.198164,This exam assesses your overall understanding of the material. This exam focuses on Biology Project Assessment 1.,2023-10-03T00:00:00,ASG983928,29.166666666666668,1,100.0,MOD836842,Biology Project Assessment 1,24,2025-03-20T18:55:29.267255,0.3
2023-10-07T00:00:00,Homework,77.74583333333334,2025-03-20T18:55:29.198164,Complete these exercises to reinforce your understanding. This homework focuses on Homework - Discussion Applications Concepts.,2023-10-13T00:00:00,ASG468035,8.333333333333332,1,100.0,MOD350242,Homework - Discussion Applications Concepts,24,2025-03-20T18:55:29.267255,0.2
2023-10-17T00:00:00,Quiz,76.82916666666667,2025-03-20T18:55:29.198164,A short quiz to test your understanding of key concepts. This quiz focuses on Practice Applications Quiz 1.,2023-10-22T00:00:00,ASG710050,12.5,3,100.0,MOD048669,Practice Applications Quiz 1,24,2025-03-20T18:55:29.267255,0.15
2023-10-24T00:00:00,Exam,76.87083333333335,2025-03-20T18:55:29.198164,A comprehensive exam covering all major topics in this module. This exam focuses on Exam - Research Applications Concepts.,2023-10-29T00:00:00,ASG513285,12.5,2,100.0,MOD850642,Exam - Research Applications Concepts,24,2025-03-20T18:55:29.267255,0.3
2023-11-01T00:00:00,Quiz,74.87083333333335,2025-03-20T18:55:29.198164,This quiz covers the essential material from recent lessons. This quiz focuses on Quiz on Research Applications.,2023-11-05T00:00:00,ASG689115,25.0,3,100.0,MOD204165,Quiz on Research Applications,24,2025-03-20T18:55:29.267255,0.15
2023-11-01T00:00:00,Quiz,76.59583333333333,2025-03-20T18:55:29.198164,A short quiz to test your understanding of key concepts. This quiz focuses on Research Applications.,2023-11-06T00:00:00,ASG398089,8.333333333333332,1,100.0,MOD204165,Quiz 2: Research Applications,24,2025-03-20T18:55:29.267255,0.15
2023-11-08T00:00:00,Project,76.09583333333333,2025-03-20T18:55:29.198164,Develop a project that demonstrates your understanding of the material. This project focuses on Project on Discussion.,2023-11-13T00:00:00,ASG234815,4.166666666666666,,100.0,MOD379723,Project on Discussion,24,2025-03-20T18:55:29.267255,0.25
2023-11-17T00:00:00,Exam,74.86666666666667,2025-03-20T18:55:29.198164,A comprehensive exam covering all major topics in this module. This exam focuses on Exam - Theory Concepts.,2023-11-21T00:00:00,ASG612321,16.666666666666664,2,100.0,MOD118189,Exam - Theory Concepts,24,2025-03-20T18:55:29.267255,0.3
2023-11-26T00:00:00,Homework,73.80000000000001,2025-03-20T18:55:29.198164,Apply what you've learned by completing these problems. This homework focuses on Homework - Biology Fundamentals Concepts.,2023-11-30T00:00:00,ASG413131,8.333333333333332,4,100.0,MOD469064,Homework - Biology Fundamentals Concepts,24,2025-03-20T18:55:29.267255,0.2
2023-12-04T00:00:00,Homework,73.20416666666667,2025-03-20T18:55:29.198164,Complete these exercises to reinforce your understanding. This homework focuses on Homework - Project Applications Concepts.,2023-12-07T00:00:00,ASG825291,25.0,4,100.0,MOD397989,Homework - Project Applications Concepts,24,2025-03-20T18:55:29.267255,0.2
2023-12-10T00:00:00,Exam,74.34583333333333,2025-03-20T18:55:29.198164,Demonstrate your mastery of the subject through this detailed examination. This exam focuses on Project Applications.,2023-12-15T00:00:00,ASG474992,12.5,3,100.0,MOD543771,Exam 1: Project Applications,24,2025-03-20T18:55:29.267255,0.3
2023-12-20T00:00:00,Project,77.01666666666668,2025-03-20T18:55:29.198164,Create a comprehensive solution that showcases your skills. This project focuses on Discussion Assessment 1.,2023-12-23T00:00:00,ASG256988,8.333333333333332,,100.0,MOD464523,Discussion Assessment 1,24,2025-03-20T18:55:29.267255,0.25
2023-12-19T00:00:00,Homework,74.7125,2025-03-20T18:55:29.198164,Apply what you've learned by completing these problems. This homework focuses on Homework - Discussion Concepts.,2023-12-24T00:00:00,ASG832785,25.0,3,100.0,MOD464523,Homework - Discussion Concepts,24,2025-03-20T18:55:29.267255,0.2
2024-02-11T00:00:00,Participation,71.35333333333337,2025-03-20T18:55:29.198164,Contribute to class discussions and activities. This participation focuses on Project Participation 1.,2024-02-16T00:00:00,ASG485132,30.0,,100.0,MOD891569,Project Participation 1,30,2025-03-20T18:55:29.267255,0.1
2024-02-22T00:00:00,Participation,73.54,2025-03-20T18:55:29.198164,Your active participation in class activities will be assessed. This participation focuses on Participation - Spanish Project Concepts.,2024-02-26T00:00:00,ASG920199,10.0,,100.0,MOD177632,Participation - Spanish Project Concepts,30,2025-03-20T18:55:29.267255,0.1
2024-02-22T00:00:00,Exam,72.11,2025-03-20T18:55:29.198164,This exam assesses your overall understanding of the material. This exam focuses on Spanish Project Exam 2.,2024-02-28T00:00:00,ASG486519,16.666666666666664,1,100.0,MOD177632,Spanish Project Exam 2,30,2025-03-20T18:55:29.267255,0.3
2024-03-03T00:00:00,Exam,70.69666666666667,2025-03-20T18:55:29.198164,A comprehensive exam covering all major topics in this module. This exam focuses on Theory.,2024-03-06T00:00:00,ASG284053,16.666666666666664,2,100.0,MOD706291,Exam 1: Theory,30,2025-03-20T18:55:29.267255,0.3
2024-03-02T00:00:00,Homework,71.3,2025-03-20T18:55:29.198164,This homework assignment provides practice with key concepts. This homework focuses on Theory Homework 2.,2024-03-06T00:00:00,ASG371276,10.0,2,100.0,MOD706291,Theory Homework 2,30,2025-03-20T18:55:29.267255,0.2
2024-03-10T00:00:00,Participation,73.99333333333334,2025-03-20T18:55:29.198164,Your active participation in class activities will be assessed. This participation focuses on Theory in Spanish Participation 1.,2024-03-16T00:00:00,ASG608354,10.0,,100.0,MOD946702,Theory in Spanish Participation 1,30,2025-03-20T18:55:29.267255,0.1
2024-03-11T00:00:00,Quiz,70.94333333333334,2025-03-20T18:55:29.198164,Complete this quiz to demonstrate your knowledge of basic concepts. This quiz focuses on Theory in Spanish.,2024-03-16T00:00:00,ASG290093,13.333333333333334,1,100.0,MOD946702,Quiz 2: Theory in Spanish,30,2025-03-20T18:55:29.267255,0.15
