accessCode,createdAt,description,durationWeeks,endDate,id,modules,name,published,schoolId,startDate,students,subjectArea,teachers,updatedAt
WCMHWP,2025-03-20T18:55:29.191174,This course covers the fundamentals of English Language. Students will learn key concepts and practical applications.,12,2023-11-24T00:00:00,CRS774420,"[""MOD010175"", ""MOD240266"", ""MOD300832"", ""MOD633350"", ""MOD775009"", ""MOD869550"", ""MOD770928"", ""MOD448289""]",English Language,True,SCH668649,2023-09-01T00:00:00,"[""584894874"", ""658869677"", ""592285162"", ""808756080"", ""747134901"", ""981064780"", ""771952793"", ""237699906"", ""240350367"", ""462168064"", ""771042262"", ""397511762"", ""962097681"", ""282419622"", ""827262571"", ""534079403"", ""975762668"", ""931230379""]",Mathematics,"[""134815415""]",2025-03-20T18:55:29.204505
CUG9B1,2025-03-20T18:55:29.191174,This course covers the fundamentals of Data Structures and Algorithms. Students will learn key concepts and practical applications.,10,2023-11-24T00:00:00,CRS990525,"[""MOD721690"", ""MOD039013"", ""MOD441619"", ""MOD451056"", ""MOD605635"", ""MOD915775"", ""MOD857434"", ""MOD063883"", ""MOD617876""]",Data Structures and Algorithms,True,SCH668649,2023-09-15T00:00:00,"[""223489145"", ""855607918"", ""271912421"", ""541416093"", ""870727753"", ""153587099"", ""829482875"", ""587887969"", ""914801104"", ""474601945"", ""587111454"", ""318467186"", ""329324364"", ""197837972"", ""703660461"", ""928200330"", ""305615971"", ""242164951"", ""942859454"", ""334074772"", ""509015818"", ""127423733""]",Mathematics,"[""137412861""]",2025-03-20T18:55:29.204505
N6CUMP,2025-03-20T18:55:29.191174,This course covers the fundamentals of Physics Principles. Students will learn key concepts and practical applications.,18,2024-01-12T00:00:00,CRS400533,"[""MOD432945"", ""MOD360367"", ""MOD838389"", ""MOD719543"", ""MOD224786"", ""MOD701252"", ""MOD107933"", ""MOD452499"", ""MOD810672"", ""MOD535204"", ""MOD651040"", ""MOD634100"", ""MOD151688"", ""MOD959070"", ""MOD715906"", ""MOD681660""]",Physics Principles,True,SCH668649,2023-09-08T00:00:00,"[""123392932"", ""333708609"", ""632257115"", ""323805900"", ""379273698"", ""123337158"", ""458879508"", ""620229852"", ""502173954"", ""537009830"", ""251402382"", ""349641047""]",Physical Education,"[""729435213"", ""858256706""]",2025-03-20T18:55:29.204505
ME6T0H,2025-03-20T18:55:29.191174,This course covers the fundamentals of French Language. Students will learn key concepts and practical applications.,17,2024-01-02T00:00:00,CRS304501,"[""MOD760238"", ""MOD721259"", ""MOD808010"", ""MOD188471"", ""MOD447094"", ""MOD228960"", ""MOD973284""]",French Language,False,SCH668649,2023-09-05T00:00:00,"[""752459953"", ""531594039"", ""171533926"", ""430796590"", ""231928419"", ""243398731"", ""531589004"", ""458512306"", ""490855877"", ""336403822"", ""609128584"", ""914611252"", ""290005232"", ""744141028"", ""998570020"", ""223489145"", ""397214426"", ""715892594"", ""999782020"", ""735123486"", ""244748987"", ""460920784"", ""262017402"", ""469362195"", ""177607069"", ""193452642"", ""133435456""]",Music,"[""736195720""]",2025-03-20T18:55:29.204505
E6GTKZ,2025-03-20T18:55:29.191174,This course covers the fundamentals of Biology of Living Systems. Students will learn key concepts and practical applications.,15,2023-12-26T00:00:00,CRS071691,"[""MOD140049"", ""MOD652251"", ""MOD836842"", ""MOD350242"", ""MOD048669"", ""MOD850642"", ""MOD204165"", ""MOD379723"", ""MOD118189"", ""MOD469064"", ""MOD397989"", ""MOD543771"", ""MOD464523""]",Biology of Living Systems,True,SCH668649,2023-09-12T00:00:00,"[""234770098"", ""835813583"", ""639459294"", ""546747766"", ""264482062"", ""166388430"", ""438009130"", ""925634208"", ""625257805"", ""330470708"", ""894847412"", ""744141028"", ""974079778"", ""509015818"", ""451205832"", ""850645361"", ""253168442"", ""273659987"", ""953954091"", ""261046533"", ""844799736"", ""815823673"", ""458879508"", ""343644955""]",Social Studies,"[""722801170""]",2025-03-20T18:55:29.204505
5KXI0U,2025-03-20T18:55:29.191174,This course covers the fundamentals of Spanish Language. Students will learn key concepts and practical applications.,14,2024-05-17T00:00:00,CRS412374,"[""MOD891569"", ""MOD177632"", ""MOD706291"", ""MOD946702"", ""MOD797293"", ""MOD551134"", ""MOD352899"", ""MOD868061"", ""MOD050390"", ""MOD827046"", ""MOD893206""]",Spanish Language,False,SCH668649,2024-02-09T00:00:00,"[""407686647"", ""657457052"", ""426688101"", ""851787464"", ""323972753"", ""871509449"", ""961891788"", ""187348404"", ""168950122"", ""720184031"", ""229447814"", ""790814948"", ""464261758"", ""693497069"", ""956310036"", ""651046033"", ""762387867"", ""304100492"", ""270284472"", ""249135231"", ""282419622"", ""855607918"", ""857515481"", ""234994235"", ""137184347"", ""397214426"", ""882451878"", ""712552690"", ""588024588"", ""320599288""]",Social Studies,"[""137412861""]",2025-03-20T18:55:29.204505
0YVWB0,2025-03-20T18:55:29.191174,This course covers the fundamentals of Introduction to Programming. Students will learn key concepts and practical applications.,18,2024-06-10T00:00:00,CRS877046,"[""MOD121523"", ""MOD711186"", ""MOD909967"", ""MOD984652"", ""MOD370774"", ""MOD073198"", ""MOD329270"", ""MOD617428"", ""MOD972669"", ""MOD238070"", ""MOD114865"", ""MOD286823"", ""MOD906604"", ""MOD025234"", ""MOD611327"", ""MOD643442""]",Introduction to Programming,True,SCH668649,2024-02-05T00:00:00,"[""745401017"", ""790720447"", ""146318430"", ""109283608"", ""568750019"", ""928200330"", ""250379634"", ""491610314"", ""363760733"", ""321559428"", ""247292478"", ""138846471"", ""305615971"", ""851586492"", ""460920784"", ""634133768"", ""308674681"", ""562116503"", ""389495622"", ""558402415"", ""770703868"", ""690116195"", ""658869677"", ""530604397"", ""134598460"", ""553651659""]",Physical Education,"[""503461650""]",2025-03-20T18:55:29.205504
M5L4D4,2025-03-20T18:55:29.191174,This course covers the fundamentals of Computer Systems. Students will learn key concepts and practical applications.,10,2024-04-15T00:00:00,CRS970510,"[""MOD359678"", ""MOD437927"", ""MOD342867"", ""MOD889909"", ""MOD928285"", ""MOD160659"", ""MOD564544"", ""MOD288920""]",Computer Systems,True,SCH668649,2024-02-05T00:00:00,"[""397511762"", ""164015110"", ""939069159"", ""187506353"", ""301348802"", ""980433439"", ""829482875"", ""223550337"", ""588199618"", ""564384754"", ""116898253"", ""359645642""]",Music,"[""858256706""]",2025-03-20T18:55:29.205504
1LC8KJ,2025-03-20T18:55:29.191174,This course covers the fundamentals of Mobile App Development. Students will learn key concepts and practical applications.,15,2023-12-29T00:00:00,CRS006701,"[""MOD515151"", ""MOD258667"", ""MOD213683"", ""MOD271408"", ""MOD994852"", ""MOD717908"", ""MOD108131"", ""MOD687311"", ""MOD703138"", ""MOD827917"", ""MOD271343"", ""MOD171413"", ""MOD049091""]",Mobile App Development,True,SCH808579,2023-09-15T00:00:00,"[""285835439"", ""361499675"", ""520005850"", ""740563871"", ""917500111"", ""423527901"", ""610348753"", ""799534154"", ""894278132"", ""829432517"", ""145167016"", ""803050767"", ""970768439"", ""534562038"", ""716026478"", ""145569290""]",Science,"[""265302650""]",2025-03-20T18:55:29.205504
TNAGI9,2025-03-20T18:55:29.191174,This course covers the fundamentals of Biology of Living Systems. Students will learn key concepts and practical applications.,12,2024-05-05T00:00:00,CRS766421,"[""MOD440985"", ""MOD357677"", ""MOD365172"", ""MOD135284"", ""MOD558720"", ""MOD068571"", ""MOD803541"", ""MOD315429"", ""MOD114996"", ""MOD513074""]",Biology of Living Systems,True,SCH808579,2024-02-11T00:00:00,"[""748261779"", ""230649673"", ""226438062"", ""614193938"", ""187660006"", ""547162466"", ""331435107"", ""208456866"", ""254250095"", ""210657402"", ""277870655"", ""245436745"", ""811343854"", ""576525007"", ""512800796"", ""752745505"", ""567130416"", ""328517048"", ""863206127"", ""161819889"", ""805659150"", ""795571760"", ""317622435""]",Computer Science,"[""718715157"", ""779134385""]",2025-03-20T18:55:29.205504
