assignments,courseId,createdAt,description,durationDays,endDate,id,name,required,sequenceNumber,startDate,subject,updatedAt
"[""ASG211500"", ""ASG683832""]",CRS282114,2025-03-31T18:05:19.776535,Engage in critical discussions about important topics in the field. Module content relates to Geometry Fundamentals.,7,2023-09-21T00:00:00,MOD129918,Discussion 1: Geometry Fundamentals,True,1,2023-09-14T00:00:00,Physical Education,2025-03-31T18:05:19.781112
"[""ASG109890"", ""ASG262429""]",CRS282114,2025-03-31T18:05:19.776535,Students will learn the core concepts and principles. Module content relates to Geometry Theory.,7,2023-09-29T00:00:00,MOD929392,Module 2: Geometry Theory,True,2,2023-09-22T00:00:00,Physical Education,2025-03-31T18:05:19.781112
"[""ASG176831""]",CRS282114,2025-03-31T18:05:19.776535,Practice core techniques through guided exercises and activities. Module content relates to Geometry Practice - Part 3.,7,2023-10-07T00:00:00,MOD634135,Geometry Practice - Part 3,True,3,2023-09-30T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG533190""]",CRS282114,2025-03-31T18:05:19.776535,Apply theoretical knowledge through practical exercises and problems. Module content relates to Geometry Practice.,8,2023-10-16T00:00:00,MOD793247,Module 4: Geometry Practice,True,4,2023-10-08T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG995147""]",CRS282114,2025-03-31T18:05:19.776535,This discussion-based module promotes critical thinking and analysis. Module content relates to Discussion in Geometry.,7,2023-10-24T00:00:00,MOD626502,Unit 5: Discussion in Geometry,True,5,2023-10-17T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG482253"", ""ASG102987""]",CRS282114,2025-03-31T18:05:19.776535,Explore the fundamental theories that underpin this subject area. Module content relates to Geometry Fundamentals.,8,2023-11-02T00:00:00,MOD154537,Theory 6: Geometry Fundamentals,True,6,2023-10-25T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG604909""]",CRS282114,2025-03-31T18:05:19.776535,This discussion-based module promotes critical thinking and analysis. Module content relates to Discussion in Geometry.,8,2023-11-11T00:00:00,MOD706011,Unit 7: Discussion in Geometry,True,7,2023-11-03T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG681028""]",CRS282114,2025-03-31T18:05:19.776535,Explore advanced concepts through guided research activities. Module content relates to Geometry Research.,7,2023-11-19T00:00:00,MOD757306,Module 8: Geometry Research,True,8,2023-11-12T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG806286""]",CRS282114,2025-03-31T18:05:19.776535,Explore advanced concepts through guided research activities. Module content relates to Geometry Research - Part 9.,7,2023-11-27T00:00:00,MOD827410,Geometry Research - Part 9,True,9,2023-11-20T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG144869"", ""ASG010848""]",CRS282114,2025-03-31T18:05:19.776535,This hands-on module focuses on developing practical skills. Module content relates to Geometry Practice.,7,2023-12-05T00:00:00,MOD625708,Module 10: Geometry Practice,True,10,2023-11-28T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG248077""]",CRS282114,2025-03-31T18:05:19.776535,Work on a comprehensive project to solidify understanding. Module content relates to Geometry Project - Part 11.,1,2023-12-07T00:00:00,MOD823547,Geometry Project - Part 11,True,11,2023-12-06T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG937045""]",CRS563301,2025-03-31T18:05:19.776535,This module focuses on research methodologies and applications. Module content relates to Algebra Research - Part 1.,7,2023-09-22T00:00:00,MOD189200,Algebra Research - Part 1,True,1,2023-09-15T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG752300""]",CRS563301,2025-03-31T18:05:19.776535,Explore advanced concepts through guided research activities. Module content relates to Algebra Research.,8,2023-10-01T00:00:00,MOD442645,Module 2: Algebra Research,True,2,2023-09-23T00:00:00,Art,2025-03-31T18:05:19.781870
