Grade,Student Count
20.2,1
29.5,1
30.1,1
34.8,1
36.0,1
37.4,1
39.5,1
40.0,1
40.4,1
40.5,1
40.7,1
42.9,1
43.5,1
44.4,2
46.1,1
46.4,2
47.0,1
47.2,1
47.3,1
48.8,1
49.2,2
49.4,1
49.5,1
49.6,1
49.7,1
50.0,1
50.1,1
50.5,1
50.9,1
51.3,1
51.4,1
51.5,1
51.8,1
52.2,2
52.7,1
52.8,1
53.4,2
53.5,1
53.7,1
53.8,1
53.9,1
54.2,1
54.3,3
54.4,1
54.9,1
55.1,1
55.4,1
55.5,2
55.7,1
55.8,1
56.2,2
56.4,2
56.6,3
56.7,1
56.8,1
56.9,2
57.0,1
57.4,1
57.5,1
57.6,1
57.7,3
57.9,1
58.2,3
58.3,2
58.4,2
58.5,1
58.6,1
58.7,2
58.8,1
59.0,1
59.1,1
59.2,4
59.5,2
59.6,4
59.7,2
59.8,4
59.9,1
60.0,2
60.1,4
60.2,1
60.3,1
60.4,3
60.5,2
60.6,1
60.8,2
60.9,3
61.0,1
61.1,3
61.2,1
61.3,2
61.4,3
61.5,4
61.6,6
61.7,2
61.8,2
61.9,2
62.0,4
62.1,1
62.2,2
62.3,1
62.5,4
62.6,1
62.7,3
62.8,1
62.9,1
63.1,1
63.2,1
63.3,1
63.4,2
63.5,1
63.6,1
63.7,1
63.8,3
63.9,1
64.2,1
64.4,1
64.5,1
64.7,2
64.8,1
64.9,1
65.0,1
65.1,2
65.3,2
65.4,1
65.5,2
65.6,2
65.7,2
65.9,2
66.2,1
66.3,1
66.4,1
66.6,1
66.7,1
66.8,4
67.1,1
67.2,3
67.3,2
67.4,4
67.5,1
67.6,2
67.8,2
67.9,5
68.0,3
68.1,3
68.2,2
68.3,1
68.5,4
68.6,6
68.7,2
68.8,3
68.9,1
69.0,2
69.1,2
69.3,4
69.4,3
69.5,4
69.6,1
69.7,3
69.9,6
70.0,3
70.1,2
70.2,5
70.3,3
70.4,3
70.5,3
70.6,3
70.7,4
70.8,2
70.9,4
71.0,5
71.1,4
71.2,2
71.3,3
71.4,4
71.5,4
71.6,4
71.7,1
71.8,4
71.9,2
72.0,1
72.1,1
72.2,3
72.3,1
72.5,2
72.6,3
72.7,1
72.8,1
72.9,2
73.0,1
73.1,1
73.2,2
73.3,1
73.4,1
74.1,3
74.3,1
74.4,1
74.5,1
74.7,1
74.9,3
75.0,1
75.2,3
75.5,1
75.8,1
75.9,1
76.0,1
76.1,1
76.2,3
76.3,3
76.4,2
76.5,1
76.8,1
76.9,1
77.0,3
77.1,2
77.3,2
77.4,2
77.5,2
77.6,2
77.7,2
77.8,5
77.9,3
78.0,2
78.1,1
78.2,1
78.3,2
78.4,2
78.5,3
78.6,6
78.7,4
78.8,2
78.9,4
79.0,4
79.1,5
79.2,4
79.3,3
79.4,2
79.5,3
79.6,1
79.7,2
79.9,5
80.0,4
80.1,2
80.2,3
80.3,4
80.4,4
80.5,9
80.8,3
80.9,2
81.0,3
81.1,2
81.2,4
81.3,1
81.4,1
81.6,2
81.7,1
81.8,1
81.9,4
82.0,3
82.1,1
82.2,5
82.3,3
82.5,1
82.6,1
82.7,4
83.0,2
83.1,1
83.3,2
83.4,1
83.5,4
83.6,1
83.7,2
83.8,2
83.9,2
84.1,1
84.3,2
84.5,1
84.6,1
84.9,1
85.1,1
85.3,1
85.6,1
85.8,1
85.9,1
86.0,2
86.1,1
86.3,1
86.4,2
86.5,1
86.7,2
86.9,1
87.2,2
87.5,2
87.6,2
87.7,4
87.8,3
87.9,2
88.2,3
88.3,3
88.5,3
88.7,1
88.8,2
89.0,1
89.1,1
89.2,3
89.3,2
89.4,1
89.5,3
89.6,1
89.7,2
89.8,1
89.9,2
90.0,1
90.1,1
90.2,2
90.3,3
90.4,1
90.6,1
90.8,1
90.9,1
91.0,1
91.3,3
91.6,1
91.7,2
91.8,2
92.1,1
92.4,1
92.5,1
92.6,1
92.7,2
92.8,1
92.9,1
93.0,1
93.5,1
93.7,1
93.8,2
94.2,1
94.3,2
94.4,1
94.7,1
95.0,1
95.2,1
95.3,1
95.4,2
95.6,1
95.9,1
96.0,2
96.1,1
96.2,1
96.3,2
96.6,1
96.8,2
96.9,1
97.0,1
97.2,2
97.4,1
97.6,1
97.7,1
97.8,1
98.0,1
98.3,1
98.4,3
98.6,1
99.2,1
99.3,1
99.4,2
99.7,1
99.8,3
99.9,1
100.0,8
